source,target,tweet_id,type,weight
Rajende11418513,PMOIndia,1.24177E+18,mention,1584894907
Rajende11418513,KusumDasi7,1.24175E+18,retweet,1584890365
RAMESHD11290754,ShrutiMahi2,1.24176E+18,retweet,1584894046
RAMESHD11290754,Ranjit03924639,1.24175E+18,retweet,1584890716
RAMESHD11290754,JaswalPalak,1.24176E+18,retweet,1584893907
RAMESHD11290754,AarohiMalik2,1.24175E+18,retweet,1584890617
RAMESHD11290754,subhash140379,1.24175E+18,retweet,1584890706
RAMESHD11290754,Hemchan70596939,1.24172E+18,retweet,1584883745
RajeshS07000862,SaintRampalJiM,1.2417E+18,mention,1584879977
RajeshS07000862,WHO,1.2417E+18,mention,1584878842
RajeshS07000862,narendramodi,1.24171E+18,mention,1584881858
RajeshS07000862,PMOIndia,1.24175E+18,mention,1584890509
RajeshS07000862,HKrishann,1.24176E+18,retweet,1584892918
RajeshS07000862,InderdassR,1.2417E+18,retweet,1584878874
Domendradass,Santram89959351,1.24172E+18,retweet,1584885023
Domendradass,kabirputra,1.2417E+18,reply,1584878295
Domendradass,narendramodi,1.2417E+18,mention,1584878533
Domendradass,PMOIndia,1.2417E+18,mention,1584878580
Domendradass,SatlokChannel,1.2417E+18,reply,1584878533
Domendradass,SaintRampalJiM,1.24171E+18,reply,1584882408
Domendradass,SaintRampalJiM_,1.2417E+18,reply,1584878580
Domendradass,satkabir_,1.2417E+18,reply,1584879932
Domendradass,VineshChhitra,1.2417E+18,retweet,1584878809
PrabhuBairwa3,vikashdasmahant,1.24172E+18,retweet,1584884303
PrabhuBairwa3,SaintRampalJiM,1.24175E+18,mention,1584891359
ChiranjivTrived,SaintRampalJiM,1.24171E+18,mention,1584881548
ChiranjivTrived,Mukeslg100,1.24171E+18,retweet,1584881808
ChiranjivTrived,narendramodi,1.24172E+18,mention,1584883257
ChiranjivTrived,sanjusahrawat,1.24172E+18,retweet,1584884841
ChiranjivTrived,SatlokChannel,1.24169E+18,mention,1584877870
ChiranjivTrived,AarohiMalik2,1.24169E+18,retweet,1584877904
ChiranjivTrived,MaheshP37502582,1.24172E+18,retweet,1584884413
ChiranjivTrived,PMOIndia,1.24173E+18,mention,1584885619
ChiranjivTrived,PinkiVe44132527,1.24172E+18,retweet,1584883739
ChiranjivTrived,aniketsinhmar,1.24172E+18,retweet,1584884028
SachinSharma_AT,VineshKumar695,1.24176E+18,retweet,1584893364
SachinSharma_AT,Keshav34594590,1.2417E+18,retweet,1584878169
SachinSharma_AT,KashmiriDass5,1.2417E+18,retweet,1584878512
SachinSharma_AT,Ompraka81953156,1.24169E+18,retweet,1584877793
SachinSharma_AT,VikramK35793048,1.24169E+18,retweet,1584877489
SachinSharma_AT,Y1UxIPgByghtlv1,1.24169E+18,retweet,1584877195
SachinSharma_AT,Ranjeet314,1.24169E+18,retweet,1584877378
SachinSharma_AT,anitaag41917208,1.24172E+18,retweet,1584883058
SachinSharma_AT,birbhan_saini,1.2417E+18,retweet,1584878296
SachinSharma_AT,Arifkha64653317,1.24169E+18,retweet,1584877468
SachinSharma_AT,RakeshDabla13,1.24169E+18,retweet,1584877672
SachinSharma_AT,das_anad,1.24173E+18,retweet,1584886888
SachinSharma_AT,Ramesh46294202,1.24169E+18,retweet,1584877838
SachinSharma_AT,MohitDash5,1.24171E+18,retweet,1584881807
SachinSharma_AT,Ajitdas54485270,1.2417E+18,retweet,1584878398
SachinSharma_AT,RajKuma82993885,1.24169E+18,retweet,1584877272
SachinSharma_AT,Qt_kamala,1.24169E+18,retweet,1584876956
SachinSharma_AT,Dk39135901,1.2417E+18,retweet,1584878399
SachinSharma_AT,Rumitkumar10,1.24171E+18,retweet,1584881983
SachinSharma_AT,premraj00,1.24169E+18,retweet,1584876861
SachinSharma_AT,dass59837690,1.2417E+18,retweet,1584878297
SachinSharma_AT,harikeshkait,1.24181E+18,retweet,1584904604
SachinSharma_AT,AnkitSi34195096,1.24169E+18,retweet,1584878071
SachinSharma_AT,Vineetlpu013,1.24169E+18,retweet,1584877059
SachinSharma_AT,DassRamdiya,1.2417E+18,retweet,1584880397
ArunaBen8,SiviChauhan,1.24169E+18,retweet,1584877022
ArunaBen8,Ranjeet314,1.24169E+18,retweet,1584877945
ArunaBen8,Ompraka81953156,1.2417E+18,retweet,1584878580
ArunaBen8,78q40MDET8S59OV,1.2417E+18,retweet,1584879190
ArunaBen8,DasDalsher,1.24171E+18,retweet,1584880622
pushpinder0311,narendramodi,1.2417E+18,mention,1584878334
